position_id,symbol,direction,volume,open_time,open_price,close_time,close_price,commission,swap,profit,unhandled
34226815,GC-Z26,SELL,0.01,2026-09-11 18:51:14+00:00,4403.39,2026-09-11 21:55:48+00:00,4389.79,-0.16,0.0,13.6,False
34227091,GC-Z26,SELL,0.01,2026-09-13 23:35:00+00:00,4376.84,2026-09-14 12:19:26+00:00,4334.89,-0.16,0.0,41.95,False
34227213,GC-Z26,SELL,0.01,2026-09-14 01:11:27+00:00,4385.84,2026-09-14 12:19:26+00:00,4334.89,-0.16,0.0,50.95,False
34229070,GC-Z26,SELL,0.01,2026-09-14 15:22:34+00:00,4309.69,2026-09-15 02:40:36+00:00,4336.99,-0.1,0.0,-27.3,False
34229104,GC-Z26,SELL,0.01,2026-09-14 15:32:39+00:00,4307.99,2026-09-15 02:40:36+00:00,4336.99,-0.1,0.0,-29.0,False
34229106,GC-Z26,SELL,0.01,2026-09-14 15:32:39+00:00,4307.89,2026-09-15 02:40:36+00:00,4336.99,-0.1,0.0,-29.1,False
34229429,GC-Z26,SELL,0.01,2026-09-14 17:47:06+00:00,4353.09,2026-09-15 02:40:36+00:00,4336.99,-0.1,0.0,16.1,False
34231072,GC-Z26,,,,,,,,,,True
