position_id,symbol,direction,volume,open_time,open_price,price_current,profit,duration_hours
34232433,GC-Z26,SELL,0.01,2026-09-16 13:29:47+00:00,4380.47,4365.93,14.54,0.6115
34232434,XAUUSD.vx,BUY,0.01,2026-09-16 13:29:48+00:00,4339.69,4324.34,-15.35,0.6112
34232481,GC-Z26,SELL,0.01,2026-09-16 14:12:58+00:00,4393.57,4365.93,27.64,-0.1082
34232482,XAUUSD.vx,BUY,0.01,2026-09-16 14:12:58+00:00,4352.6,4324.34,-28.26,-0.1082
34232580,GC-Z26,SELL,0.01,2026-09-16 14:45:12+00:00,4383.02,4365.93,17.09,-0.6454
34232581,XAUUSD.vx,BUY,0.01,2026-09-16 14:45:12+00:00,4340.76,4324.34,-16.42,-0.6454
34232582,GC-Z26,SELL,0.01,2026-09-16 14:45:23+00:00,4383.82,4365.93,17.89,-0.6485
34232583,XAUUSD.vx,BUY,0.01,2026-09-16 14:45:23+00:00,4340.76,4324.34,-16.42,-0.6485
