position_id,symbol,direction,volume,open_time,open_price,price_current,profit,duration_hours
34232433,GC-Z26,SELL,0.01,2026-09-16 13:29:47+00:00,4380.47,4379.88,0.59,0.5024
34232434,XAUUSD.vx,BUY,0.01,2026-09-16 13:29:48+00:00,4339.69,4338.26,-1.43,0.5021
34232481,GC-Z26,SELL,0.01,2026-09-16 14:12:58+00:00,4393.57,4379.88,13.69,-0.2173
34232482,XAUUSD.vx,BUY,0.01,2026-09-16 14:12:58+00:00,4352.6,4338.26,-14.34,-0.2173
34232580,GC-Z26,SELL,0.01,2026-09-16 14:45:12+00:00,4383.02,4379.88,3.14,-0.7545
34232581,XAUUSD.vx,BUY,0.01,2026-09-16 14:45:12+00:00,4340.76,4338.26,-2.5,-0.7545
34232582,GC-Z26,SELL,0.01,2026-09-16 14:45:23+00:00,4383.82,4379.88,3.94,-0.7576
34232583,XAUUSD.vx,BUY,0.01,2026-09-16 14:45:23+00:00,4340.76,4338.26,-2.5,-0.7576
